順番,名前,H,A,B,S,C,D,タイプ1,タイプ2,捕獲率,基礎経験値,努力値1,努力値2,持ち物50%,持ち物5%,性別判定,孵化歩数,初期懐き度,経験値タイプ,タマゴグループ1,タマゴグループ2,特性1,特性2,逃走値,色，向き,夢特性,28byte目,進化条件1,汎用変数1,進化先1,進化に必要なレベル1,進化条件2,汎用変数2,進化先2,進化に必要なレベル2,進化条件3,汎用変数3,進化先3,進化に必要なレベル3,進化条件4,汎用変数4,進化先4,進化に必要なレベル4,進化条件5,汎用変数5,進化先5,進化に必要なレベル5,
254,マタドガス終,35,120,90,90,115,40,毒,悪,3,255,32,0,アイテムなし,アイテムなし,127,20,0,0,11,11,ふゆう終　　　　,ポイズンミスト終,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
255,アーボック終,35,125,39,105,95,49,毒,悪,3,255,8,0,アイテムなし,アイテムなし,127,20,0,0,5,14,いかく終　　　　,だっぴ終　　　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
256,ベトベトン終,80,145,35,75,105,60,毒,悪,3,255,5,0,アイテムなし,アイテムなし,127,20,0,0,11,11,あくしゅう終　　,ねんちゃく終　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
257,ピジョン終　,71,98,52,99,89,50,飛,悪,3,255,128,0,アイテムなし,アイテムなし,127,15,0,3,4,4,プレッシャー終　,てんのめぐみ終　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
258,フシギソウ終,45,82,43,75,100,60,草,悪,3,255,0,5,アイテムなし,アイテムなし,31,20,0,3,1,7,しんりょく終　　,あくしゅう終　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
259,フシギバナ終,50,112,53,110,130,70,草,悪,3,255,0,6,アイテムなし,アイテムなし,31,20,0,3,1,7,しんりょく終　　,あついしぼう終　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
260,リザード終　,48,84,38,90,100,45,炎,悪,3,255,64,1,アイテムなし,アイテムなし,31,20,0,3,1,14,もうか終　　　　,かそく終　　　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
261,リザードン終,68,114,48,110,139,55,炎,悪,3,255,0,3,アイテムなし,アイテムなし,31,20,0,3,1,14,もうか終　　　　,ふゆう終　　　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
262,カメール終　,44,83,60,73,85,60,水,悪,3,255,16,4,アイテムなし,アイテムなし,31,20,0,3,1,2,げきりゅう終　　,あめふらし終　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
263,カメックス終,49,113,70,108,115,75,水,悪,3,255,0,12,アイテムなし,アイテムなし,31,20,0,3,1,2,げきりゅう終　　,あめふらし終　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
264,ラッタ終　　,45,111,50,107,60,60,無,悪,3,232,128,0,アイテムなし,アイテムなし,127,15,0,0,5,5,こんじょう終　　,はりきり終　　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
265,サンドパン終,55,120,90,85,65,35,地,悪,3,255,32,0,アイテムなし,アイテムなし,127,20,0,0,5,5,どくのトゲ終　　,すながくれ終　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
266,ゴルバット終,55,100,50,110,85,55,飛,悪,3,255,128,0,アイテムなし,アイテムなし,127,15,0,0,4,4,せいしんりょく終,かそく終　　　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
267,クロバット終,75,120,50,140,90,60,飛,悪,3,255,192,0,アイテムなし,アイテムなし,127,15,0,0,4,4,せいしんりょく終,かそく終　　　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
268,ゴーリキー終,70,120,50,55,60,50,闘,悪,3,255,8,0,アイテムなし,アイテムなし,63,20,0,3,8,8,こんじょう終　　,はんげき終　　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
269,カイリキー終,70,150,60,75,75,75,闘,悪,3,255,12,0,アイテムなし,アイテムなし,63,20,0,3,8,8,こんじょう終　　,はんげき終　　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
270,スリーパー終,65,83,60,87,103,85,超,悪,3,255,0,8,アイテムなし,アイテムなし,127,20,0,0,8,8,ふみん終　　　　,はりきり終　　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
271,マルマイン終,40,90,50,170,80,60,電,悪,15,255,128,0,モンスターボール,ロケットボール,255,20,0,0,10,10,せいでんき終　　,かそく終　　　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
272,クサイハナ終,45,75,60,55,105,55,草,悪,3,255,0,2,アイテムなし,アイテムなし,127,20,0,3,7,7,ほうし終　　　　,あくしゅう終　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
273,ラフレシア終,55,100,65,70,110,80,草,悪,3,255,0,3,アイテムなし,アイテムなし,127,20,0,3,7,7,ほうし終　　　　,ようりょくそ終　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
274,メタドガス終,50,140,95,80,135,50,鋼,悪,45,255,36,0,アイテムなし,アイテムなし,127,20,0,0,11,11,ふゆう終　　　　,もらいび終　　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
275,ハッサム終　,70,140,90,65,65,70,鋼,悪,3,255,8,0,アイテムなし,アイテムなし,127,25,0,0,3,3,かいりきバサミ終,テクニシャン終　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
276,ルギア終　　,106,90,130,110,90,154,闇,飛,3,255,0,12,アイテムなし,アイテムなし,255,120,0,5,15,15,エアロック終　　,あめふらし終　　,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
277,キモリ終　　,40,45,35,70,65,55,草,草,45,65,64,0,アイテムなし,アイテムなし,31,20,70,3,1,14,しんりょく終　　,ーーーーーーー終,0,3,0,0,普通にレベルアップ,16,ジュプトル終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
278,ジュプトル終,50,65,45,95,85,65,草,草,45,141,128,0,アイテムなし,アイテムなし,31,20,70,3,1,14,しんりょく終　　,ーーーーーーー終,0,3,0,0,普通にレベルアップ,36,ジュカイン終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
279,ジュカイン終,70,85,65,120,105,85,草,草,45,208,192,0,アイテムなし,アイテムなし,31,20,70,3,1,14,しんりょく終　　,ーーーーーーー終,0,3,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
280,アチャモ終　,45,60,40,45,70,50,炎,炎,45,65,0,1,アイテムなし,アイテムなし,31,20,70,3,5,5,もうか終　　　　,ーーーーーーー終,0,0,0,0,普通にレベルアップ,16,ワカシャモ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
281,ワカシャモ終,60,85,60,55,85,60,炎,闘,45,142,4,1,アイテムなし,アイテムなし,31,20,70,3,5,5,もうか終　　　　,ーーーーーーー終,0,0,0,0,普通にレベルアップ,36,バシャーモ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
282,バシャーモ終,80,120,70,80,110,70,炎,闘,45,209,12,0,アイテムなし,アイテムなし,31,20,70,3,5,5,もうか終　　　　,ーーーーーーー終,0,0,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
283,ミズゴロウ終,50,70,50,40,50,50,水,水,45,65,4,0,アイテムなし,アイテムなし,31,20,70,3,1,2,げきりゅう終　　,ーーーーーーー終,0,1,0,0,普通にレベルアップ,16,ヌマクロー終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
284,ヌマクロー終,70,85,70,50,60,70,水,地,45,143,8,0,アイテムなし,アイテムなし,31,20,70,3,1,2,げきりゅう終　　,ーーーーーーー終,0,1,0,0,普通にレベルアップ,36,ラグラージ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
285,ラグラージ終,100,110,90,60,85,90,水,地,45,210,12,0,アイテムなし,アイテムなし,31,20,70,3,1,2,げきりゅう終　　,ーーーーーーー終,0,1,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
286,ポチエナ終　,35,55,35,35,30,30,悪,悪,255,55,4,0,アイテムなし,モモンのみ,127,15,70,0,5,5,にげあし終　　　,にげあし終　　　,0,7,0,0,普通にレベルアップ,18,グラエナ終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
287,グラエナ終　,70,90,70,70,60,60,悪,悪,127,128,8,0,アイテムなし,モモンのみ,127,15,70,0,5,5,いかく終　　　　,じしんかじょう終,0,7,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
288,ジグザグマ終,38,30,41,60,30,41,無,無,255,60,64,0,アイテムなし,オレンのみ,127,15,70,0,5,5,ものひろい終　　,ーーーーーーー終,0,5,0,0,普通にレベルアップ,20,マッスグマ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
289,マッスグマ終,78,70,61,100,50,61,無,無,90,128,128,0,オレンのみ,オボンのみ,127,15,70,0,5,5,ものひろい終　　,ーーーーーーー終,0,8,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
290,ケムッソ終　,45,45,35,20,20,30,虫,虫,255,54,1,0,アイテムなし,アイテムなし,127,15,70,0,3,3,りんぷん終　　　,ーーーーーーー終,0,0,0,0,性格値%10≧5でレベルアップ,7,カラサリス終,0,性格値%10＜5でレベルアップ,7,マユルド終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
291,カラサリス終,50,35,55,15,25,25,虫,虫,120,71,32,0,アイテムなし,アイテムなし,127,15,70,0,3,3,だっぴ終　　　　,ーーーーーーー終,0,8,0,0,普通にレベルアップ,10,アゲハント終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
292,アゲハント終,60,70,50,65,100,50,虫,飛,45,161,0,3,アイテムなし,ぎんのこな,127,15,70,0,3,3,むしのしらせ終　,ーーーーーーー終,0,2,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
293,マユルド終　,50,35,55,15,25,25,虫,虫,120,72,32,0,アイテムなし,アイテムなし,127,15,70,0,3,3,だっぴ終　　　　,ーーーーーーー終,0,6,0,0,普通にレベルアップ,10,ドクケイル終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
294,ドクケイル終,60,50,70,65,50,90,虫,毒,45,160,0,12,アイテムなし,ぎんのこな,127,15,70,0,3,3,りんぷん終　　　,ーーーーーーー終,0,3,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
295,ハスボー終　,40,30,30,30,40,50,水,草,255,74,0,4,アイテムなし,アイテムなし,127,15,70,3,2,7,すいすい終　　　,あめうけざら終　,0,3,0,0,普通にレベルアップ,14,ハスブレロ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
296,ハスブレロ終,60,50,50,50,60,70,水,草,120,141,0,8,アイテムなし,アイテムなし,127,15,70,3,2,7,すいすい終　　　,あめうけざら終　,0,3,0,0,アイテム使用,みずのいし,ルンパッパ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
297,ルンパッパ終,80,70,70,70,90,100,水,草,45,181,0,12,アイテムなし,アイテムなし,127,15,70,3,2,7,すいすい終　　　,あめうけざら終　,0,3,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
298,タネボー終　,40,40,50,30,30,30,草,草,255,74,16,0,アイテムなし,アイテムなし,127,15,70,3,5,7,ようりょくそ終　,はやおき終　　　,0,5,0,0,普通にレベルアップ,14,コノハナ終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
299,コノハナ終　,70,70,40,60,60,40,草,悪,120,141,8,0,アイテムなし,アイテムなし,127,15,70,3,5,7,ようりょくそ終　,はやおき終　　　,0,5,0,0,アイテム使用,リーフのいし,ダーテング終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
300,ダーテング終,90,100,60,80,90,60,草,悪,45,181,12,0,アイテムなし,アイテムなし,127,15,70,3,5,7,ようりょくそ終　,はやおき終　　　,0,5,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
301,ツチニン終　,31,45,90,40,30,30,虫,地,255,65,16,0,アイテムなし,アイテムなし,127,15,70,1,3,3,ふくがん終　　　,ーーーーーーー終,0,7,0,0,増殖,20,テッカニン終,0,増殖2,20,ヌケニン終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
302,テッカニン終,61,90,45,160,50,50,虫,飛,120,155,128,0,アイテムなし,アイテムなし,127,15,70,1,3,3,かそく終　　　　,ーーーーーーー終,0,2,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
303,ヌケニン終　,1,90,45,40,30,30,虫,霊,45,95,2,0,アイテムなし,アイテムなし,255,15,70,1,10,10,ふしぎなまもり終,ーーーーーーー終,0,5,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
304,スバメ終　　,40,55,30,85,30,30,無,飛,200,59,64,0,アイテムなし,アイテムなし,127,15,70,3,4,4,こんじょう終　　,ーーーーーーー終,0,1,0,0,普通にレベルアップ,22,オオスバメ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
305,オオスバメ終,60,85,60,125,75,50,無,飛,45,162,128,0,アイテムなし,アイテムなし,127,15,70,3,4,4,こんじょう終　　,おおきなつばさ終,0,1,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
306,キノココ終　,60,40,60,35,40,60,草,草,255,65,1,0,アイテムなし,アイテムなし,127,15,70,2,6,7,ほうし終　　　　,ほうし終　　　　,0,5,0,0,普通にレベルアップ,23,キノガッサ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
307,キノガッサ終,60,130,80,70,60,60,草,闘,90,165,8,0,アイテムなし,アイテムなし,127,15,70,2,6,7,ほうし終　　　　,テクニシャン終　,0,3,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
308,パッチール終,60,60,60,60,60,60,無,無,255,85,0,1,アイテムなし,カゴのみ,127,15,70,4,5,8,マイペース終　　,ーーーーーーー終,0,133,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
309,キャモメ終　,40,30,30,85,55,30,水,飛,190,64,64,0,アイテムなし,アイテムなし,127,20,70,0,2,4,するどいめ終　　,するどいめ終　　,0,8,0,0,普通にレベルアップ,25,ペリッパー終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
310,ペリッパー終,60,50,100,65,95,70,水,飛,45,164,32,0,アイテムなし,アイテムなし,127,20,70,0,2,4,するどいめ終　　,あめふらし終　　,0,2,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
311,アメタマ終　,40,30,32,65,50,52,虫,水,200,63,64,0,アイテムなし,アイテムなし,127,15,70,0,2,3,すいすい終　　　,ーーーーーーー終,0,1,0,0,普通にレベルアップ,22,アメモース終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
312,アメモース終,70,60,62,80,100,82,虫,飛,75,128,0,5,アイテムなし,ぎんのこな,127,15,70,0,2,3,いかく終　　　　,ーーーーーーー終,0,1,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
313,ホエルコ終　,130,70,35,60,70,35,水,水,125,137,1,0,アイテムなし,アイテムなし,127,40,70,2,5,12,みずのベール終　,どんかん終　　　,0,1,0,0,普通にレベルアップ,40,ホエルオー終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
314,ホエルオー終,170,90,45,60,90,45,水,水,60,206,2,0,アイテムなし,アイテムなし,127,40,70,2,5,12,みずのベール終　,どんかん終　　　,0,1,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
315,エネコ終　　,50,45,45,50,35,35,無,無,255,65,64,0,アイテムなし,ヒメリのみ,191,15,70,4,5,6,メロメロボディ終,ーーーーーーー終,0,9,0,0,アイテム使用,つきのいし,エネコロロ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
316,エネコロロ終,70,65,65,90,55,55,無,無,60,138,65,0,アイテムなし,ヒメリのみ,191,15,70,4,5,6,メロメロボディ終,ーーーーーーー終,0,6,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
317,カクレオン終,60,90,70,40,60,120,無,無,200,132,0,4,アイテムなし,キーのみ,127,20,70,3,5,5,へんしょく終　　,ーーーーーーー終,0,3,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
318,ヤジロン終　,40,40,55,55,40,70,地,超,255,58,0,4,アイテムなし,アイテムなし,255,20,70,0,10,10,ふゆう終　　　　,ーーーーーーー終,0,5,0,0,普通にレベルアップ,36,ネンドール終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
319,ネンドール終,60,70,105,75,70,120,地,超,90,189,0,8,アイテムなし,アイテムなし,255,20,70,0,10,10,ふゆう終　　　　,ーーーーーーー終,0,4,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
320,ノズパス終　,30,45,135,30,45,90,岩,岩,255,108,16,0,アイテムなし,アイテムなし,127,20,70,0,10,10,がんじょう終　　,じりょく終　　　,0,7,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
321,コータス終　,70,85,140,20,85,70,炎,炎,90,161,32,0,アイテムなし,アイテムなし,127,20,70,0,5,5,しろいけむり終　,ひでり終　　　　,0,5,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
322,ヤミラミ終　,50,75,75,50,65,65,悪,霊,45,98,20,0,アイテムなし,アイテムなし,127,25,35,3,8,8,するどいめ終　　,ーーーーーーー終,0,6,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
323,ドジョッチ終,50,48,43,60,46,41,水,地,190,92,1,0,アイテムなし,アイテムなし,127,20,70,0,12,12,どんかん終　　　,ーーーーーーー終,0,7,0,0,普通にレベルアップ,30,ナマズン終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
324,ナマズン終　,110,78,73,60,76,71,水,地,75,158,2,0,アイテムなし,アイテムなし,127,20,70,0,12,12,どんかん終　　　,ーーーーーーー終,0,1,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
325,ラブカス終　,43,30,55,97,40,65,水,水,225,110,64,0,ハートのウロコ,アイテムなし,191,20,70,4,12,12,すいすい終　　　,ーーーーーーー終,0,9,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
326,へイガニ終　,43,80,65,35,50,35,水,水,205,111,4,0,アイテムなし,アイテムなし,127,15,70,2,2,9,かいりきバサミ終,シェルアーマー終,0,0,0,0,普通にレベルアップ,30,シザリガー終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
327,シザリガー終,63,120,85,55,90,55,水,悪,155,161,8,0,アイテムなし,アイテムなし,127,15,70,2,2,9,かいりきバサミ終,シェルアーマー終,0,0,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
328,ヒンバス終　,20,15,20,80,10,55,水,水,255,61,64,0,アイテムなし,アイテムなし,127,20,70,1,2,14,すいすい終　　　,ーーーーーーー終,0,5,0,0,美しさが指定値以上でレベルアップ,170,ミロカロス終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
329,ミロカロス終,95,60,79,81,100,125,水,水,60,213,0,8,アイテムなし,アイテムなし,127,20,70,1,2,14,ふしぎなうろこ終,ーーーーーーー終,0,9,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
330,キバニア終　,45,90,20,65,65,20,水,悪,225,88,4,0,アイテムなし,アイテムなし,127,20,35,5,12,12,はんげき終　　　,ーーーーーーー終,0,0,0,0,普通にレベルアップ,30,サメハダー終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
331,サメハダー終,70,120,40,95,95,40,水,悪,60,175,8,0,アイテムなし,アイテムなし,127,20,35,5,12,12,はんげき終　　　,ーーーーーーー終,0,1,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
332,ナックラー終,45,100,45,10,45,45,地,地,255,73,4,0,アイテムなし,やわらかいすな,127,20,70,3,3,14,かいりきバサミ終,ありじごく終　　,0,5,0,0,普通にレベルアップ,35,ビブラーバ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
